                 , Pokedex, Living, Shiny, 100%, Lucky, XXL, XXS, Mega, Dynamax, Gigantamax, Shadow, Purified,  ,   ,     , 
L                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
M                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
N                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
O                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
P                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
Q                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
R                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
S                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
T                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
U                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
V                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
W                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
X                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
Y                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
Z                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
!                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
?                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
202 Wobbuffet    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
203 Girafarig    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
204 Pineco       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
205 Forretress   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
206 Dunsparce    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
207 Gligar       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
208 Steelix      ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
209 Snubbull     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
210 Granbull     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
211 Qwilfish     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Hisuian          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
212 Scizor       ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
213 Shuckle      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
214 Heracross    ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -,  8,     ,   
215 Sneasel      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Hisuian          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
216 Teddiursa    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
217 Ursaring     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
218 Slugma       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
219 Magcargo     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
220 Swinub       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
221 Piloswine    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
222 Corsola      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
223 Remoraid     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
224 Octillery    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
225 Delibird     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
226 Mantine      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
227 Skarmory     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
228 Houndour     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
229 Houndoom     ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
230 Kingdra      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
231 Phanpy       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
232 Donphan      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
233 Porygon2     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
234 Stantler     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
235 Smeargle     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
236 Tyrogue      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
237 Hitmontop    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
238 Smoochum     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
239 Elekid       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
240 Magby        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
241 Miltank      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
242 Blissey      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  7,     ,   
243 Raikou       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
244 Entei        ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
245 Suicune      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
246 Larvitar     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
247 Pupitar      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
248 Tyranitar    ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
249 Lugia        ,        ,       ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 11,     ,   
Apex             ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         ,       ,         ,  ,  8,     ,   
250 Ho-Oh        ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
Apex             ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         ,       ,         ,  ,  8,     ,   
251 Celebi       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
HOENN            ,        ,       ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
252 Treecko      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
253 Grovyle      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
254 Sceptile     ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
255 Torchic      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
256 Combusken    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
257 Blaziken     ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
258 Mudkip       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
259 Marshtomp    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
260 Swampert     ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
261 Poochyena    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
262 Mightyena    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
263 Zigzagoon    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  5,     ,   
264 Linoone      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
265 Wurmple      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
266 Silcoon      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
267 Beautifly    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
268 Cascoon      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
269 Dustox       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
270 Lotad        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
271 Lombre       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
272 Ludicolo     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
273 Seedot       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
274 Nuzleaf      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
275 Shiftry      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
276 Taillow      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
277 Swellow      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
278 Wingull      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     ,         , -,  8,     ,   
279 Pelipper     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     ,         , -,  8,     ,   
280 Ralts        ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -,  9,     ,   
281 Kirlia       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -,  9,     ,   
282 Gardevoir    ,        ,       ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 10,     ,   
283 Surskit      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
284 Masquerain   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
285 Shroomish    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
286 Breloom      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
287 Slakoth      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
288 Vigoroth     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
289 Slaking      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
290 Nincada      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
291 Ninjask      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
292 Shedinja     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
293 Whismur      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
294 Loudred      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
295 Exploud      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
296 Makuhita     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
297 Hariyama     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
298 Azurill      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
299 Nosepass     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
300 Skitty       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
301 Delcatty     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
302 Sableye      ,        ,       ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 11,     ,   
303 Mawile       ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
304 Aron         ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
305 Lairon       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
306 Aggron       ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
307 Meditite     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
308 Medicham     ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -,  8,     ,   
309 Electrike    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
310 Manectric    ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
311 Plusle       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
312 Minun        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
313 Volbeat      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
314 Illumise     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
315 Roselia      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
316 Gulpin       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
317 Swalot       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
318 Carvanha     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
319 Sharpedo     ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
320 Wailmer      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
321 Wailord      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
322 Numel        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
323 Camerupt     ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
324 Torkoal      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
325 Spoink       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
326 Grumpig      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
327 Spinda       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
1                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
2                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
3                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
4                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
5                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
6                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
7                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
8                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
9                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
328 Trapinch     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
329 Vibrava      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
330 Flygon       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
331 Cacnea       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
332 Cacturne     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
333 Swablu       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
334 Altaria      ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
335 Zangoose     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
336 Seviper      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
337 Lunatone     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
338 Solrock      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
339 Barboach     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
340 Whiscash     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
341 Corphish     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
342 Crawdaunt    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
343 Baltoy       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
344 Claydol      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
345 Lileep       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
346 Cradily      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
347 Anorith      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
348 Armaldo      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
349 Feebas       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
350 Milotic      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
351 Castform     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Normal           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Sunny            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Rainy            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Snowy            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
352 Kecleon      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
353 Shuppet      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
354 Banette      ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
355 Duskull      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
356 Dusclops     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
357 Tropius      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
358 Chimecho     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
359 Absol        ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
360 Wynaut       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
361 Snorunt      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
362 Glalie       ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
363 Spheal       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
364 Sealeo       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
365 Walrein      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
366 Clamperl     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
367 Huntail      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
368 Gorebyss     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
369 Relicanth    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
370 Luvdisc      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
371 Bagon        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
372 Shelgon      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
373 Salamence    ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
374 Beldum       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
375 Metang       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
376 Metagross    ,        ,       ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 11,     ,   
377 Regirock     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
378 Regice       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
379 Registeel    ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
380 Latias       ,        ,       ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 11,     ,   
381 Latios       ,        ,       ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 11,     ,   
382 Kyogre       ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -,  9,     ,   
383 Groudon      ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -,  9,     ,   
384 Rayquaza     ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -,  8,     ,   
385 Jirachi      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
386 Deoxys       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Normal           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Attack           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Defense          ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Speed            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
SINNOH           ,        ,       ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
387 Turtwig      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
388 Grotle       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
389 Torterra     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
390 Chimchar     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
391 Monferno     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
392 Infernape    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
393 Piplup       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
394 Prinplup     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
395 Empoleon     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
396 Starly       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
397 Staravia     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
398 Staraptor    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
399 Bidoof       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
400 Bibarel      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
401 Kricketot    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
402 Kricketune   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
403 Shinx        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
404 Luxio        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
405 Luxray       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
406 Budew        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
407 Roserade     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
408 Cranidos     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
409 Rampardos    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
410 Shieldon     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
411 Bastiodon    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
412 Burmy        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Plant Cloak      ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Sandy Cloak      ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Trash Cloak      ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
413 Wormadam     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
