Pokemon          , Pokedex,     , Living,     , Shiny, 100%, Lucky, XXL, XXS, Mega, Dynamax, Gigantamax, Shadow, Purified,  ,   ,     , 
186 Politoed     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
187 Hoppip       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
188 Skiploom     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
189 Jumpluff     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
190 Aipom        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
191 Sunkern      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
192 Sunflora     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
193 Yanma        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
194 Wooper       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Paldean          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
195 Quagsire     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
196 Espeon       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
197 Umbreon      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
198 Murkrow      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
199 Slowking     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Paldean          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
200 Misdreavus   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
201 Unown        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
A                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
B                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
C                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
D                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
E                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
F                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
G                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
H                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
I                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
J                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
K                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
L                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
M                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
N                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
O                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
P                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
Q                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
R                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
S                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
T                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
U                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
V                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
W                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
X                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
Y                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
Z                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
!                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
?                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
202 Wobbuffet    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
203 Girafarig    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
204 Pineco       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
205 Forretress   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
206 Dunsparce    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
207 Gligar       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
208 Steelix      ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
209 Snubbull     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
210 Granbull     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
211 Qwilfish     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Hisuian          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
212 Scizor       ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
213 Shuckle      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
214 Heracross    ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -, 10,     ,   
215 Sneasel      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Hisuian          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
216 Teddiursa    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
217 Ursaring     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
218 Slugma       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
219 Magcargo     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
220 Swinub       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
221 Piloswine    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
222 Corsola      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
223 Remoraid     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
224 Octillery    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
225 Delibird     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
226 Mantine      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
227 Skarmory     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
228 Houndour     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
229 Houndoom     ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
230 Kingdra      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
231 Phanpy       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
232 Donphan      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
233 Porygon2     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
234 Stantler     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
235 Smeargle     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
236 Tyrogue      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
237 Hitmontop    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
238 Smoochum     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
239 Elekid       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
240 Magby        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
241 Miltank      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
242 Blissey      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
243 Raikou       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
244 Entei        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
245 Suicune      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
246 Larvitar     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
247 Pupitar      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
248 Tyranitar    ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
249 Lugia        ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 13,     ,   
Apex             ,        ,     ,       ,     , -    ,     ,      ,    ,    , -   , -      , -         ,       ,         ,  , 10,     ,   
250 Ho-Oh        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Apex             ,        ,     ,       ,     , -    ,     ,      ,    ,    , -   , -      , -         ,       ,         ,  , 10,     ,   
251 Celebi       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
HOENN            ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
252 Treecko      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
253 Grovyle      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
254 Sceptile     ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
255 Torchic      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
256 Combusken    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
257 Blaziken     ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
258 Mudkip       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
259 Marshtomp    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
260 Swampert     ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
261 Poochyena    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
262 Mightyena    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
263 Zigzagoon    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  7,     ,   
264 Linoone      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
265 Wurmple      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
266 Silcoon      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
267 Beautifly    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
268 Cascoon      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
269 Dustox       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
270 Lotad        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
271 Lombre       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
272 Ludicolo     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
273 Seedot       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
274 Nuzleaf      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
275 Shiftry      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
276 Taillow      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
277 Swellow      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
278 Wingull      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     ,         , -, 10,     ,   
279 Pelipper     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     ,         , -, 10,     ,   
280 Ralts        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
281 Kirlia       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
282 Gardevoir    ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
283 Surskit      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
284 Masquerain   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
285 Shroomish    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
286 Breloom      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
287 Slakoth      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
288 Vigoroth     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
289 Slaking      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
290 Nincada      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
291 Ninjask      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
292 Shedinja     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
293 Whismur      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
294 Loudred      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
295 Exploud      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
296 Makuhita     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
297 Hariyama     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
298 Azurill      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
299 Nosepass     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
300 Skitty       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
301 Delcatty     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
302 Sableye      ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 13,     ,   
303 Mawile       ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
304 Aron         ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
305 Lairon       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
306 Aggron       ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
307 Meditite     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
308 Medicham     ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         , -     , -       , -, 10,     ,   
309 Electrike    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
310 Manectric    ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
311 Plusle       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
312 Minun        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
313 Volbeat      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
314 Illumise     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
315 Roselia      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
316 Gulpin       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
317 Swalot       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
318 Carvanha     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
319 Sharpedo     ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
320 Wailmer      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
321 Wailord      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
322 Numel        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
323 Camerupt     ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
324 Torkoal      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
325 Spoink       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
326 Grumpig      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
327 Spinda       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
1                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
2                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
3                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
4                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
5                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
6                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
7                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
8                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
9                ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
328 Trapinch     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
329 Vibrava      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
330 Flygon       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
331 Cacnea       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
332 Cacturne     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
333 Swablu       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
334 Altaria      ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
335 Zangoose     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
336 Seviper      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
337 Lunatone     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
338 Solrock      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
339 Barboach     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
340 Whiscash     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
341 Corphish     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
342 Crawdaunt    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
343 Baltoy       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
344 Claydol      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
345 Lileep       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
346 Cradily      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
347 Anorith      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
348 Armaldo      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
349 Feebas       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
350 Milotic      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
351 Castform     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Normal           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Sunny            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Rainy            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Snowy            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
352 Kecleon      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
353 Shuppet      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
354 Banette      ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
355 Duskull      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
356 Dusclops     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
357 Tropius      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
358 Chimecho     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
359 Absol        ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
360 Wynaut       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
361 Snorunt      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
362 Glalie       ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
363 Spheal       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
364 Sealeo       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
365 Walrein      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
366 Clamperl     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
367 Huntail      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
